Author,File,NumLines
Alex Tkachman,src/test,2.0
Alex Tkachman,src/test/org/codehaus/groovy/antlr/treewalker,1.0
Alex Tkachman,src/test/org/codehaus/groovy/classgen,54.0
Alex Tkachman,src/test/org/codehaus/groovy/runtime,102.0
Alexandru Popescu,src/test,3.0
Alexandru Popescu,src/test/org/codehaus/groovy/antlr,133.0
Alexandru Popescu,src/test/org/codehaus/groovy/antlr/treewalker,13.0
Boc McWhirter,src/test/org/codehaus/groovy/syntax,39.0
Chris Poirier,src/test/org/codehaus/groovy/classgen,8.0
Chris Poirier,src/test/org/codehaus/groovy/syntax,6.0
Christian Stein,src/test/org/codehaus/groovy/antlr/treewalker,1.0
Danno Ferrin,src/test,1.0
Danno Ferrin,src/test/org/codehaus/groovy/ant,58.0
Danno Ferrin,src/test/org/codehaus/groovy/ast,2.0
Danno Ferrin,src/test/org/codehaus/groovy/runtime,5.0
Dierk Koenig,src/test,127.0
Dierk Koenig,src/test/org/codehaus/groovy/antlr/treewalker,4.0
Dierk Koenig,src/test/org/codehaus/groovy/classgen,4.0
Dierk Koenig,src/test/org/codehaus/groovy/runtime,51.0
Franck Rasolo,src/test,2.0
Franck Rasolo,src/test/org/codehaus/groovy/control,39.0
Franck Rasolo,src/test/org/codehaus/groovy/control/messages,41.0
Graeme Rocher,src/test/org/codehaus/groovy/runtime,10.0
Guillaume Laforge,src/test/org/codehaus/groovy/classgen,5.0
Guillaume Laforge,src/test/org/codehaus/groovy/runtime,6.0
James Strachan,src/test/org/codehaus/groovy/ast,135.0
James Strachan,src/test/org/codehaus/groovy/bsf,189.0
James Strachan,src/test/org/codehaus/groovy/classgen,1946.0
James Strachan,src/test/org/codehaus/groovy/runtime,1607.0
James Strachan,src/test/org/codehaus/groovy/syntax,705.0
Jeremy Rayner,src/test,45.0
Jeremy Rayner,src/test/org/codehaus/groovy/antlr,131.0
Jeremy Rayner,src/test/org/codehaus/groovy/antlr/treewalker,758.0
Joachim Baumann,src/test,23.0
Jochen Theodorou,src/test,3.0
Jochen Theodorou,src/test/org/codehaus/groovy/antlr/treewalker,52.0
Jochen Theodorou,src/test/org/codehaus/groovy/ast,6.0
Jochen Theodorou,src/test/org/codehaus/groovy/classgen,45.0
Jochen Theodorou,src/test/org/codehaus/groovy/control,249.0
Jochen Theodorou,src/test/org/codehaus/groovy/runtime,21.0
John Wilson,src/test/org/codehaus/groovy/runtime,23.0
Marc Guillemot,src/test/org/codehaus/groovy/ant,56.0
Martin C. Martin,src/test/org/codehaus/groovy/classgen,4.0
Martin Kempf,src/test,8.0
Martin Kempf,src/test/org/codehaus/groovy/ast,746.0
Paul King,src/test,251.0
Paul King,src/test/org/codehaus/groovy/ant,229.0
Paul King,src/test/org/codehaus/groovy/antlr,58.0
Paul King,src/test/org/codehaus/groovy/antlr/treewalker,823.0
Paul King,src/test/org/codehaus/groovy/ast,15.0
Paul King,src/test/org/codehaus/groovy/bsf,159.0
Paul King,src/test/org/codehaus/groovy/classgen,308.0
Paul King,src/test/org/codehaus/groovy/control,2.0
Paul King,src/test/org/codehaus/groovy/runtime,238.0
Paul King,src/test/org/codehaus/groovy/syntax,2.0
Pilho Kim,src/test/org/codehaus/groovy/classgen,61.0
Russel Winder,src/test,5.0
Russel Winder,src/test/org/codehaus/groovy/ant,22.0
Russel Winder,src/test/org/codehaus/groovy/ast,1.0
Russel Winder,src/test/org/codehaus/groovy/classgen,5.0
Sam Pullara,src/test/org/codehaus/groovy/classgen,5.0
Sam Pullara,src/test/org/codehaus/groovy/runtime,3.0
Steve Goetze,src/test/org/codehaus/groovy/runtime,8.0
Alex Tkachman,src/test/groovy,22.0
Alex Tkachman,src/test/org/codehaus/groovy/benchmarks/vm5,125.0
Alex Tkachman,src/test/org/codehaus/groovy/benchmarks/vm5/b2394,45.0
Alex Tkachman,src/test/org/codehaus/groovy/tools,43.0
Bing Ran,src/test/groovy/xml,44.0
Boc McWhirter,src/test/org/codehaus/groovy/tools,1.0
Chris Poirier,src/test/groovy/text,2.0
Chris Poirier,src/test/org/codehaus/groovy/tools,6.0
Christian Stein,src/test/groovy/text,35.0
Danno Ferrin,src/test/groovy,7.0
Danno Ferrin,src/test/org/codehaus/groovy/reflection/utils,34.0
Danno Ferrin,src/test/org/codehaus/groovy/tools,17.0
Dierk Koenig,src/test/groovy,29.0
Guillaume Laforge,src/test/groovy,65.0
Guillaume Laforge,src/test/groovy/xml,2.0
Guillaume Laforge,src/test/org/codehaus/groovy/tools,3.0
James Strachan,src/test/groovy,5.0
James Strachan,src/test/groovy/tree,89.0
James Strachan,src/test/groovy/xml,81.0
James Strachan,src/test/org/codehaus/groovy/dummy,10.0
James Strachan,src/test/org/codehaus/groovy/syntax/parser,52.0
James Strachan,src/test/org/codehaus/groovy/tools,280.0
Jeremy Rayner,src/test/groovy,12.0
Jeremy Rayner,src/test/groovy/xml,14.0
Jeremy Rayner,src/test/org/codehaus/groovy/tools/groovydoc,185.0
Jochen Theodorou,src/test/groovy,80.0
Jochen Theodorou,src/test/org/codehaus/groovy/tools,5.0
John Wilson,src/test/groovy/text,4.0
Paul King,src/test/groovy,24.0
Paul King,src/test/groovy/text,29.0
Paul King,src/test/groovy/tree,5.0
Paul King,src/test/groovy/xml,66.0
Paul King,src/test/org/codehaus/groovy/benchmarks/vm5/b2394,128.0
Paul King,src/test/org/codehaus/groovy/dummy,1.0
Paul King,src/test/org/codehaus/groovy/syntax/parser,4.0
Paul King,src/test/org/codehaus/groovy/tools,19.0
Paul King,src/test/org/codehaus/groovy/tools/groovydoc,21.0
Sam Pullara,src/test/groovy/text,51.0
Sam Pullara,src/test/org/codehaus/groovy/tools,16.0
Alex Tkachman,src/test/groovy/bugs,89.0
Alex Tkachman,src/test/groovy/inspect,1.0
Alexandru Popescu,src/test/groovy/security,2.0
Andres Almiray,src/test/groovy/bugs,30.0
Bing Ran,src/test/groovy/security,14.0
Chris Poirier,src/test/groovy/lang,1.0
Christiaan ten Klooster,src/test/groovy/lang,108.0
Christian Stein,src/test/groovy/bugs,2.0
Christian Stein,src/test/groovy/servlet,47.0
Dierk Koenig,src/test/groovy/inspect,104.0
Dierk Koenig,src/test/groovy/lang,21.0
Dierk Koenig,src/test/groovy/security,7.0
Dierk Koenig,src/test/groovy/util,42.0
Guillaume Alleon,src/test/groovy/util,2.0
Guillaume Laforge,src/test/groovy/lang,87.0
Guillaume Laforge,src/test/groovy/security,4.0
Guillaume Laforge,src/test/groovy/util,62.0
James Strachan,src/test/groovy/bugs,524.0
James Strachan,src/test/groovy/lang,895.0
James Strachan,src/test/groovy/security,174.0
James Strachan,src/test/groovy/txn,53.0
James Strachan,src/test/groovy/util,215.0
Jeremy Rayner,src/test/groovy/lang,1.0
